producto,categoria,proveedor,precio,costo,stock
Metro Linterna,Hogar,Manizales Market,26.06,18.54,99
Metro Linterna,Hogar,Sabaneta Supply,26.06,18.54,59
Metro Maceta,Ropa,Popayan Logistics,38.03,22.38,166
Metro Marcador,Juguetes,Chia Market,164.66,112.44,201
Metro Mesa,Deportes,Kennedy Market,373.97,245.48,344
Metro Microfono,Deportes,Pasto Proveedores,52.02,33.51,145
Metro Mochila,Alimentos,Jamundi Market,24.02,19.14,402
Metro Mochila,Alimentos,Oriente Mercantil,24.02,19.14,163
Metro Monitor,Hogar,Mosquera Logistics,26.67,21.77,457
metro mouse,Electronica,Sucre Supply,633.92,515.74,480
Metro Mousepad,Jardin,Tolima Proveedores,143.4,93.34,438
Metro Muñeco,Ropa,Nariño Trade,50.01,29.09,241
Metro Olla,Alimentos,Magdalena Supply,5.5,4.2,68
Metro Pantalon,Oficina,Monteria Retail,25.47,19.58,174
Metro Pantalon,Oficina,Chapinero Trade,25.47,19.58,48
Metro Papel,Juguetes,Santa Marta Retail,112.27,83.07,482
Metro Papel,Juguetes,Sabaneta Supply,112.27,83.07,107
Metro Parlante,Ropa,Quibdo Market,60.72,37.55,225
metro parlante,Ropa,Riohacha Trade,60.72,37.55,160
Metro Patin,Deportes,Oriente Mercantil,34.86,28.82,118
Metro Patin,Deportes,Madrid Supply,34.86,28.82,148
Metro Pegante,Hogar,Logistica Pacifico,67.8,48.67,464
Metro Pelota,Electronica,Eje Cafetero SAS,337.75,247.76,149
Metro Pelota,Electronica,Pereira Proveedores,337.75,247.76,431
Metro Perfume,Oficina,Tunja Trade,104.34,78.08,292
Metro Plancha,Oficina,Funza Commodities,70.0,45.66,142
Metro Plancha,Oficina,Fusagasuga Supply,70.0,45.66,418
Metro Plato,Juguetes,Choco Importaciones,88.29,62.6,475
Metro PowerBank,Oficina,Bogota Central,117.24,77.1,454
Metro ProtectorSolar,Juguetes,Huila Distribuciones,76.87,54.16,159
Metro ProtectorSolar,Juguetes,Cali Express,76.87,54.16,10
Metro Raqueta,Hogar,Candelaria Market,140.37,118.14,137
Metro Regla,Oficina,Comercial Caribe,35.22,28.24,456
Metro Regla,Oficina,Barranquilla Hub,35.22,28.24,77
Metro Resaltador,Deportes,Kennedy Market,28.98,20.46,76
Metro Rompecabezas,Electronica,Duitama Market,273.02,173.21,440
Metro Rompecabezas,Electronica,Madrid Supply,273.02,173.21,253
Metro Router,Belleza,Monteria Retail,41.68,25.25,408
Metro Sacapuntas,Ropa,Cajica Traders,104.38,77.61,257
Metro Sarten,Deportes,Manizales Market,337.3,214.47,319
Metro Semilla,Oficina,Manizales Market,42.67,29.48,290
Metro Semilla,Oficina,Envigado Supply,42.67,29.48,262
Metro Shampoo,Oficina,Manizales Market,78.87,63.38,84
Metro Shampoo,Oficina,Sabaneta Supply,78.87,63.38,145
Metro Silla,Juguetes,Pereira Proveedores,190.91,112.75,322
Metro Silla,Juguetes,Altiplano Supply,190.91,112.75,41
metro switch,Electronica,Cucuta Comercios,92.72,67.75,373
Metro Switch,Electronica,Sabaneta Supply,92.72,67.75,124
Metro Talonario,Deportes,Monteria Retail,133.96,88.96,166
Metro Talonario,Deportes,Tolima Proveedores,133.96,88.96,424
Metro Tambor,Ropa,Jamundi Market,36.37,20.32,240
Metro Tambor,Ropa,Popayan Logistics,36.37,20.32,458
Metro Teclado,Jardin,Arauca Connect,203.8,139.08,486
Metro Teclado,Jardin,Santander Mayorista,203.8,139.08,279
Metro Telefono,Electronica,Bello Traders,220.75,179.59,187
Metro Tenedor,Electronica,Manizales Market,295.06,240.22,301
Metro Tenedor,Electronica,Mosquera Logistics,295.06,240.22,18
Metro Termo,Alimentos,Distribuciones Andina,20.02,15.36,67
Metro Tijera,Hogar,Sucre Supply,231.08,178.63,217
Metro Tijera,Hogar,Cartagena Hub,231.08,178.63,101
Metro Toalla,Ropa,Funza Commodities,33.51,25.29,41
Metro Toalla,Ropa,Riohacha Trade,33.51,25.29,287
Metro Tripode,Electronica,Villavicencio Hub,416.87,323.13,166
Metro Tripode,Electronica,Guajira Logistics,416.87,323.13,108
Metro Webcam,Jardin,Tunja Retail,90.04,68.14,493
Metro Webcam,Jardin,Guajira Logistics,90.04,68.14,35
Metro Zapatilla,Deportes,Paisa Import,16.12,13.19,231
Metro Zapatilla,Deportes,Cucuta Comercios,16.12,13.19,228
Mini Afeitadora,Deportes,Quibdo Market,211.96,137.27,352
Mini Agenda,Electronica,Tunja Trade,432.02,353.87,163
Mini Archivador,Alimentos,Soacha Distribuciones,22.24,17.69,386
Mini Auriculares,Alimentos,Cartagena Hub,16.73,14.19,72
Mini Balanza,Hogar,Amazonas Traders,260.72,180.46,135
Mini Balanza,Hogar,Cucuta Comercios,260.72,180.46,352
Mini Balon,Jardin,Barranquilla Hub,75.77,56.66,378
Mini Biberon,Electronica,Fusagasuga Supply,223.85,180.99,69
Mini Bicicleta,Electronica,Chia Market,262.2,174.92,424
Mini Boligrafo,Oficina,Paisa Import,83.0,51.99,486
Mini Botella,Electronica,Chapinero Trade,689.36,530.29,195
Mini Cable,Electronica,Sincelejo Market,115.24,92.14,268
mini cable,Electronica,Bogota Central,115.24,92.14,48
Mini Cafetera,Ropa,Atlantico Pro,38.98,26.19,315
Mini Cafetera,Ropa,Itagui Market,38.98,26.19,129
Mini Camisa,Deportes,Tunja Retail,312.4,249.54,443
Mini Cargador,Alimentos,Meta Comerciales,14.75,12.49,4
mini carpa,Hogar,Santander Mayorista,35.09,24.51,427
Mini Carpeta,Deportes,Huila Distribuciones,190.9,127.77,26
Mini Carpeta,Deportes,Engativa Traders,190.9,127.77,159
Mini Cepillo,Jardin,Sincelejo Market,208.77,135.26,148
Mini Cereal,Juguetes,Altiplano Supply,145.62,87.01,263
Mini Chaqueta,Oficina,Atlantico Pro,40.57,27.76,229
Mini Chocolate,Oficina,Yumbo Logistics,106.97,80.58,199
Mini Cinta,Oficina,Amazonas Traders,56.56,46.3,49
Mini Colchoneta,Alimentos,Yopal Supply,23.41,17.93,66
Mini Colchoneta,Alimentos,Soacha Distribuciones,23.41,17.93,299
Mini Copa,Belleza,Meta Comerciales,15.23,7.47,380
Mini Crema,Oficina,Valledupar Traders,33.36,22.29,57
Mini Cuaderno,Deportes,Armenia Supply,56.19,37.71,258
Mini Cuaderno,Deportes,Girardot Trade,56.19,37.71,341
Mini Cuchillo,Ropa,Magdalena Supply,11.08,7.69,325
Mini Cuchillo,Ropa,Chia Market,11.08,7.69,129
Mini Drone,Juguetes,Mosquera Logistics,115.96,79.74,214
Mini Estante,Hogar,La Estrella Supply,19.68,14.05,171
Mini Estante,Hogar,Kennedy Market,19.68,14.05,257
Mini Extensor,Belleza,Soledad Retail,31.44,18.84,101
Mini Extensor,Belleza,Pasto Proveedores,31.44,18.84,208
Mini Galleta,Hogar,Zipaquira Supply,30.03,21.35,290
Mini Gorra,Alimentos,Engativa Traders,17.6,12.89,353
Mini Gorra,Alimentos,Tunja Retail,17.6,12.89,470
Mini Guante,Alimentos,Chapinero Trade,14.06,11.66,285
Mini Guitarra,Alimentos,Usaquen Market,6.83,5.43,115
Mini Jabon,Electronica,Sucre Supply,501.04,413.22,263
Mini Jabon,Electronica,Funza Commodities,501.04,413.22,149
Mini Lampara,Jardin,Yopal Supply,220.46,140.96,299
Mini Licuadora,Jardin,Choco Importaciones,217.05,138.87,441
Mini Licuadora,Jardin,Rionegro Supply,217.05,138.87,35
Mini Linterna,Deportes,Quibdo Market,255.6,191.26,452
Mini Maceta,Alimentos,Pereira Proveedores,29.31,21.78,332
Mini Maceta,Alimentos,Comercial Caribe,29.31,21.78,476
Mini Marcador,Electronica,Girardot Trade,702.23,494.07,286
Mini Mesa,Belleza,La Estrella Supply,106.82,51.94,302
Mini Mesa,Belleza,Fusagasuga Supply,106.82,51.94,310
Mini Microfono,Juguetes,Bello Traders,84.57,53.74,207
Mini Mochila,Oficina,Kennedy Market,39.43,24.89,105
Mini Monitor,Juguetes,Dosquebradas Traders,151.2,90.75,445
Mini Mouse,Ropa,Cajica Traders,107.31,73.08,157
Mini Mouse,Ropa,Funza Commodities,107.31,73.08,120
Mini Mousepad,Belleza,Sincelejo Market,12.41,7.88,54
Mini Mousepad,Belleza,Dosquebradas Traders,12.41,7.88,399
Mini Muñeco,Oficina,Bucaramanga Trade,40.04,28.03,11
Mini Olla,Electronica,Duitama Market,522.47,388.55,144
mini olla,Electronica,Fusagasuga Supply,522.47,388.55,399
Mini Pantalon,Belleza,Yopal Supply,93.64,47.6,395
Mini Pantalon,Belleza,Putumayo Goods,93.64,47.6,135
Mini Papel,Electronica,Nariño Trade,168.96,118.37,467
Mini Papel,Electronica,Cajica Traders,168.96,118.37,2
Mini Parlante,Jardin,Leticia Traders,194.5,126.38,143
Mini Patin,Juguetes,Pereira Proveedores,84.29,58.21,29
Mini Pegante,Juguetes,Jamundi Market,13.07,9.26,236
Mini Pelota,Oficina,Funza Commodities,25.9,21.17,278
Mini Pelota,Oficina,Jamundi Market,25.9,21.17,347
Mini Perfume,Hogar,Pereira Proveedores,83.35,62.52,114
Mini Perfume,Hogar,Engativa Traders,83.35,62.52,103
Mini Plancha,Jardin,Itagui Market,197.16,143.27,117
Mini Plato,Belleza,Cucuta Comercios,74.34,46.66,4
Mini PowerBank,Juguetes,Casanare Retail,30.11,19.63,467
Mini ProtectorSolar,Ropa,Manizales Market,119.13,70.34,359
Mini Raqueta,Deportes,Chapinero Trade,43.39,35.7,247
Mini Raqueta,Deportes,Manizales Market,43.39,35.7,363
Mini Regla,Oficina,Pasto Proveedores,111.31,77.73,320
Mini Regla,Oficina,Bucaramanga Trade,111.31,77.73,120
Mini Resaltador,Electronica,La Estrella Supply,457.56,354.37,285
Mini Rompecabezas,Belleza,Guajira Logistics,82.69,58.59,148
Mini Router,Jardin,Popayan Logistics,102.08,83.82,83
Mini Router,Jardin,La Estrella Supply,102.08,83.82,453
Mini Sacapuntas,Deportes,Cesar Distribuciones,114.03,92.63,405
Mini Sarten,Juguetes,Santa Marta Retail,23.15,18.02,465
Mini Semilla,Deportes,Sincelejo Market,117.11,86.84,455
Mini Semilla,Deportes,Comercial Caribe,117.11,86.84,230
mini shampoo,Alimentos,Bucaramanga Trade,3.41,2.71,287
Mini Silla,Belleza,Zipaquira Supply,18.17,11.16,160
Mini Silla,Belleza,Meta Comerciales,18.17,11.16,500
Mini Switch,Jardin,Mayoristas del Valle,73.94,54.24,271
Mini Talonario,Jardin,Palmira Traders,117.27,73.78,459
Mini Tambor,Electronica,Cali Express,168.27,138.17,37
Mini Teclado,Ropa,Tunja Trade,96.53,73.39,499
Mini Teclado,Ropa,Bucaramanga Trade,96.53,73.39,225
Mini Telefono,Deportes,Itagui Market,285.83,203.54,141
Mini Telefono,Deportes,Palmira Traders,285.83,203.54,291
Mini Tenedor,Oficina,Candelaria Market,105.37,70.95,480
Mini Termo,Deportes,Neiva Express,142.85,99.68,150
Mini Termo,Deportes,Logistica Pacifico,142.85,99.68,113
Mini Tijera,Ropa,Neiva Express,63.76,33.58,236
Mini Tijera,Ropa,Funza Commodities,63.76,33.58,65
Mini Toalla,Hogar,Cucuta Comercios,275.27,191.48,360
Mini Tripode,Deportes,Pasto Proveedores,231.6,144.83,340
Mini Webcam,Oficina,Armenia Supply,94.26,66.59,257
Mini Zapatilla,Hogar,Logistica Pacifico,223.78,171.04,474
montana afeitadora,Electronica,Tolima Proveedores,561.92,383.91,248
Montana Agenda,Oficina,Neiva Express,53.37,40.81,456
Montana Agenda,Oficina,Valledupar Traders,53.37,40.81,448
Montana Archivador,Belleza,Yumbo Logistics,89.54,54.93,330
Montana Auriculares,Jardin,Ipiales Trade,52.04,39.25,322
Montana Balanza,Hogar,Palmira Traders,181.85,141.68,179
Montana Balon,Alimentos,Leticia Traders,12.0,9.69,189
Montana Balon,Alimentos,Soacha Distribuciones,12.0,9.69,406
Montana Biberon,Oficina,Villavicencio Hub,11.74,8.73,153
Montana Bicicleta,Juguetes,Guajira Logistics,108.32,74.6,195
Montana Boligrafo,Alimentos,Neiva Express,8.83,6.51,465
Montana Boligrafo,Alimentos,Yumbo Logistics,8.83,6.51,310
Montana Botella,Ropa,Altiplano Supply,107.7,74.43,261
Montana Cable,Alimentos,Soledad Retail,22.62,17.18,418
Montana Cable,Alimentos,Girardot Trade,22.62,17.18,405
Montana Cafetera,Belleza,Santander Mayorista,79.27,48.36,426
Montana Cafetera,Belleza,Guajira Logistics,79.27,48.36,142
Montana Camisa,Hogar,Kennedy Market,32.53,25.49,341
Montana Camisa,Hogar,Quibdo Market,32.53,25.49,315
Montana Cargador,Ropa,Envigado Supply,80.96,48.2,100
Montana Carpa,Deportes,Villavicencio Hub,350.07,225.77,243
montana carpeta,Electronica,Bucaramanga Trade,193.8,141.72,489
Montana Cepillo,Oficina,Chia Market,89.66,64.6,11
Montana Cepillo,Oficina,Yumbo Logistics,89.66,64.6,238
Montana Cereal,Hogar,Medellin Market,39.47,34.02,48
Montana Cereal,Hogar,Kennedy Market,39.47,34.02,41
Montana Chaqueta,Alimentos,Chia Market,1.87,1.57,165
Montana Chaqueta,Alimentos,Villavicencio Hub,1.87,1.57,81
Montana Chocolate,Hogar,Candelaria Market,49.56,35.15,428
Montana Chocolate,Hogar,Popayan Logistics,49.56,35.15,290
Montana Cinta,Alimentos,Sucre Supply,28.12,22.7,157
Montana Colchoneta,Alimentos,Duitama Market,21.46,17.73,215
Montana Colchoneta,Alimentos,Quibdo Market,21.46,17.73,489
Montana Copa,Belleza,Casanare Retail,19.84,9.78,157
Montana Copa,Belleza,Rionegro Supply,19.84,9.78,461
Montana Crema,Jardin,Meta Comerciales,131.89,91.17,133
Montana Cuaderno,Electronica,Nariño Trade,142.02,90.56,66
Montana Cuaderno,Electronica,Sabaneta Supply,142.02,90.56,335
Montana Cuchillo,Juguetes,Meta Comerciales,168.31,109.73,6
Montana Cuchillo,Juguetes,Suba Supply,168.31,109.73,435
Montana Drone,Alimentos,Mayoristas del Valle,10.08,7.94,13
montana estante,Ropa,La Estrella Supply,104.07,60.01,72
Montana Extensor,Oficina,Rionegro Supply,14.6,9.37,398
Montana Extensor,Oficina,Atlantico Pro,14.6,9.37,404
Montana Galleta,Jardin,Amazonas Traders,142.34,103.04,162
Montana Gorra,Jardin,Altiplano Supply,97.06,69.16,65
montana gorra,Jardin,Distribuciones Andina,97.06,69.16,346
Montana Guante,Belleza,Itagui Market,83.45,56.85,129
Montana Guante,Belleza,Sabaneta Supply,83.45,56.85,418
Montana Guitarra,Belleza,Cajica Traders,44.62,31.12,465
Montana Jabon,Oficina,Distribuciones Andina,115.93,80.96,205
Montana Jabon,Oficina,Mosquera Logistics,115.93,80.96,275
Montana Lampara,Alimentos,Magdalena Supply,9.78,7.85,465
Montana Licuadora,Ropa,Yumbo Logistics,101.39,76.51,255
Montana Linterna,Deportes,Monteria Retail,147.12,112.19,265
Montana Maceta,Jardin,Rionegro Supply,26.7,20.32,24
Montana Maceta,Jardin,Eje Cafetero SAS,26.7,20.32,449
Montana Marcador,Hogar,Rionegro Supply,83.84,64.69,280
Montana Mesa,Deportes,Santander Mayorista,292.35,222.25,252
Montana Mesa,Deportes,Neiva Express,292.35,222.25,309
montana microfono,Belleza,Guajira Logistics,114.41,59.36,288
Montana Mochila,Deportes,Dosquebradas Traders,212.68,169.28,163
Montana Mochila,Deportes,Bogota Central,212.68,169.28,94
Montana Monitor,Deportes,Cota Proveedores,198.76,141.62,269
Montana Monitor,Deportes,Itagui Market,198.76,141.62,320
Montana Mouse,Ropa,Altiplano Supply,12.98,7.05,109
Montana Mouse,Ropa,Huila Distribuciones,12.98,7.05,335
Montana Mousepad,Oficina,Kennedy Market,63.06,49.34,309
Montana Mousepad,Oficina,Valledupar Traders,63.06,49.34,237
Montana Muñeco,Juguetes,Cota Proveedores,127.09,100.74,380
Montana Muñeco,Juguetes,Tolima Proveedores,127.09,100.74,435
Montana Olla,Deportes,Atlantico Pro,120.33,76.2,386
Montana Pantalon,Alimentos,Tunja Retail,23.77,18.57,482
Montana Papel,Juguetes,Duitama Market,50.57,38.92,424
Montana Parlante,Hogar,Zipaquira Supply,120.85,94.44,389
Montana Parlante,Hogar,Valledupar Traders,120.85,94.44,24
Montana Patin,Belleza,Cartagena Hub,11.89,7.95,140
Montana Patin,Belleza,Sucre Supply,11.89,7.95,116
Montana Pegante,Belleza,Huila Distribuciones,66.22,44.7,481
Montana Pelota,Jardin,Putumayo Goods,182.3,121.72,391
Montana Perfume,Deportes,Magdalena Supply,244.9,184.02,404
Montana Perfume,Deportes,Altiplano Supply,244.9,184.02,481
Montana Plancha,Oficina,Tunja Retail,43.53,31.51,451
Montana Plato,Oficina,Atlantico Pro,75.18,61.14,24
Montana PowerBank,Jardin,Soacha Distribuciones,163.45,134.49,78
Montana ProtectorSolar,Hogar,Magdalena Supply,259.81,187.15,67
Montana Raqueta,Jardin,Popayan Logistics,47.57,33.42,172
Montana Regla,Electronica,Barranquilla Hub,830.0,572.05,443
Montana Regla,Electronica,Armenia Supply,830.0,572.05,11
Montana Resaltador,Deportes,Comercial Caribe,55.53,41.12,287
Montana Rompecabezas,Deportes,Cali Express,223.28,170.95,127
Montana Router,Ropa,Candelaria Market,58.38,41.34,95
Montana Sacapuntas,Juguetes,Rionegro Supply,50.23,37.5,91
Montana Sacapuntas,Juguetes,Logistica Pacifico,50.23,37.5,140
Montana Sarten,Hogar,Rionegro Supply,268.29,190.66,30
Montana Sarten,Hogar,Santa Marta Retail,268.29,190.66,333
Montana Semilla,Deportes,Sucre Supply,10.76,8.77,19
Montana Semilla,Deportes,Pereira Proveedores,10.76,8.77,145
Montana Shampoo,Oficina,Chapinero Trade,82.79,55.79,476
Montana Shampoo,Oficina,Soledad Retail,82.79,55.79,315
Montana Silla,Electronica,Armenia Supply,365.45,279.99,446
Montana Silla,Electronica,Tunja Retail,365.45,279.99,389
Montana Switch,Alimentos,Bello Traders,19.51,16.14,159
Montana Talonario,Jardin,Villavicencio Hub,110.78,75.73,348
Montana Talonario,Jardin,Leticia Traders,110.78,75.73,42
Montana Tambor,Ropa,Kennedy Market,127.82,70.84,253
Montana Tambor,Ropa,Santander Mayorista,127.82,70.84,129
Montana Teclado,Belleza,Sucre Supply,71.59,41.07,59
Montana Telefono,Alimentos,Yumbo Logistics,19.74,15.35,150
Montana Tenedor,Belleza,Madrid Supply,12.57,8.5,466
Montana Termo,Belleza,Mosquera Logistics,46.11,26.92,286
Montana Termo,Belleza,Kennedy Market,46.11,26.92,498
Montana Tijera,Deportes,Sucre Supply,209.77,168.31,4
Montana Toalla,Juguetes,Mayoristas del Valle,177.91,114.98,466
Montana Toalla,Juguetes,Villavicencio Hub,177.91,114.98,417
Montana Tripode,Jardin,Yumbo Logistics,157.62,106.36,265
Montana Webcam,Juguetes,Putumayo Goods,166.52,101.61,344
Montana Webcam,Juguetes,Medellin Market,166.52,101.61,129
Montana Zapatilla,Alimentos,Yumbo Logistics,20.24,17.49,381
Nano Afeitadora,Belleza,Sabaneta Supply,64.59,31.93,266
Nano Agenda,Alimentos,Santa Marta Retail,3.3,2.46,177
Nano Agenda,Alimentos,Itagui Market,3.3,2.46,252
Nano Archivador,Belleza,Huila Distribuciones,70.0,41.47,414
Nano Archivador,Belleza,Yumbo Logistics,70.0,41.47,55
Nano Auriculares,Juguetes,Guajira Logistics,73.7,53.9,462
Nano Auriculares,Juguetes,Distribuciones Andina,73.7,53.9,456
Nano Balanza,Electronica,Jamundi Market,294.63,197.57,470
Nano Balon,Jardin,Bogota Central,118.93,97.62,82
Nano Biberon,Juguetes,Cajica Traders,78.59,52.13,392
Nano Bicicleta,Ropa,Comercial Caribe,79.9,45.2,98
Nano Bicicleta,Ropa,Altiplano Supply,79.9,45.2,148
Nano Boligrafo,Hogar,Armenia Supply,253.59,190.1,328
nano botella,Jardin,Pasto Proveedores,34.85,24.61,155
Nano Botella,Jardin,Distribuciones Andina,34.85,24.61,189
Nano Cable,Electronica,Tunja Trade,607.33,491.33,493
Nano Cable,Electronica,Jamundi Market,607.33,491.33,370
Nano Cafetera,Jardin,Bello Traders,206.97,137.36,262
Nano Camisa,Oficina,Kennedy Market,9.25,7.58,79
Nano Camisa,Oficina,Medellin Market,9.25,7.58,399
Nano Cargador,Deportes,Huila Distribuciones,122.35,95.63,251
Nano Cargador,Deportes,Putumayo Goods,122.35,95.63,96
Nano Carpa,Ropa,Jamundi Market,104.32,67.86,259
Nano Carpeta,Deportes,Zipaquira Supply,98.93,78.23,259
Nano Carpeta,Deportes,Eje Cafetero SAS,98.93,78.23,102
Nano Cepillo,Jardin,Logistica Pacifico,69.12,53.74,39
Nano Cereal,Deportes,Medellin Market,285.97,235.48,272
Nano Cereal,Deportes,Engativa Traders,285.97,235.48,100
Nano Chaqueta,Electronica,Engativa Traders,656.39,465.32,358
Nano Chaqueta,Electronica,Yumbo Logistics,656.39,465.32,379
Nano Chocolate,Oficina,Choco Importaciones,51.6,37.02,307
Nano Chocolate,Oficina,Altiplano Supply,51.6,37.02,220
Nano Cinta,Ropa,Sucre Supply,34.48,26.23,307
nano cinta,Ropa,Putumayo Goods,34.48,26.23,419
Nano Colchoneta,Deportes,Madrid Supply,24.25,16.17,123
Nano Copa,Alimentos,Kennedy Market,19.79,16.73,421
Nano Copa,Alimentos,Eje Cafetero SAS,19.79,16.73,230
Nano Crema,Belleza,Yumbo Logistics,75.77,52.13,177
Nano Crema,Belleza,Fusagasuga Supply,75.77,52.13,62
Nano Cuaderno,Oficina,Cucuta Comercios,98.65,65.55,484
Nano Cuchillo,Alimentos,Tolima Proveedores,1.98,1.48,115
Nano Drone,Oficina,Jamundi Market,69.63,55.23,190
Nano Estante,Alimentos,Monteria Retail,7.37,5.66,61
Nano Estante,Alimentos,Engativa Traders,7.37,5.66,255
Nano Extensor,Belleza,Madrid Supply,81.03,47.73,482
nano galleta,Electronica,Comercial Caribe,299.1,216.18,6
Nano Gorra,Hogar,Insumos Cafeteros,81.09,60.21,154
Nano Gorra,Hogar,Yumbo Logistics,81.09,60.21,91
Nano Guante,Juguetes,Riohacha Trade,69.73,48.31,469
Nano Guante,Juguetes,Tunja Retail,69.73,48.31,13
Nano Guitarra,Deportes,Manizales Market,344.69,241.99,454
Nano Jabon,Juguetes,Kennedy Market,59.07,37.71,228
Nano Jabon,Juguetes,Popayan Logistics,59.07,37.71,85
Nano Lampara,Oficina,Bello Traders,28.4,23.53,132
Nano Licuadora,Juguetes,Engativa Traders,148.8,88.67,182
Nano Linterna,Oficina,Insumos Cafeteros,89.59,64.88,385
Nano Maceta,Electronica,Nariño Trade,347.18,268.54,61
Nano Maceta,Electronica,Manizales Market,347.18,268.54,218
Nano Marcador,Jardin,Riohacha Trade,92.85,74.66,404
Nano Mesa,Belleza,Tolima Proveedores,43.17,21.95,245
Nano Mesa,Belleza,Atlantico Pro,43.17,21.95,229
Nano Microfono,Hogar,Chapinero Trade,33.77,28.12,78
Nano Microfono,Hogar,Huila Distribuciones,33.77,28.12,148
Nano Mochila,Juguetes,Armenia Supply,94.31,73.24,137
Nano Mochila,Juguetes,Arauca Connect,94.31,73.24,470
Nano Monitor,Alimentos,Funza Commodities,20.04,15.8,313
Nano Monitor,Alimentos,Villavicencio Hub,20.04,15.8,375
Nano Mouse,Deportes,Tunja Retail,31.11,22.26,422
Nano Mousepad,Alimentos,Cali Express,10.46,8.47,388
nano muñeco,Ropa,Armenia Supply,13.26,7.74,64
Nano Olla,Alimentos,Palmira Traders,26.67,21.91,12
Nano Pantalon,Deportes,Arauca Connect,289.49,190.72,212
Nano Papel,Oficina,Tolima Proveedores,72.82,45.98,473
nano parlante,Deportes,Itagui Market,127.41,85.88,241
Nano Parlante,Deportes,Sucre Supply,127.41,85.88,492
Nano Patin,Oficina,Chapinero Trade,76.02,50.82,212
Nano Patin,Oficina,Monteria Retail,76.02,50.82,180
Nano Pegante,Hogar,La Estrella Supply,236.41,185.03,337
Nano Pelota,Hogar,Quibdo Market,112.07,81.38,484
Nano Pelota,Hogar,Arauca Connect,112.07,81.38,172
Nano Perfume,Ropa,Cesar Distribuciones,60.41,44.0,159
Nano Perfume,Ropa,Madrid Supply,60.41,44.0,163
Nano Plancha,Deportes,Armenia Supply,180.96,113.9,464
Nano Plato,Electronica,Sincelejo Market,750.81,537.03,482
Nano PowerBank,Oficina,Choco Importaciones,67.29,44.87,496
Nano ProtectorSolar,Oficina,Riohacha Trade,46.7,38.8,187
Nano Raqueta,Hogar,Oriente Mercantil,114.84,92.74,394
Nano Regla,Belleza,Magdalena Supply,60.01,32.78,190
Nano Resaltador,Jardin,Duitama Market,110.42,87.19,404
Nano Rompecabezas,Belleza,Manizales Market,50.66,32.83,307
Nano Router,Jardin,Leticia Traders,105.07,80.79,255
Nano Sacapuntas,Juguetes,Tunja Trade,40.87,29.22,182
Nano Sarten,Ropa,Paisa Import,29.95,17.32,116
Nano Sarten,Ropa,Meta Comerciales,29.95,17.32,281
Nano Semilla,Juguetes,Cartagena Hub,8.81,6.13,195
Nano Shampoo,Ropa,Madrid Supply,76.39,40.29,33
Nano Silla,Electronica,Tunja Trade,282.44,221.51,51
Nano Switch,Hogar,Magdalena Supply,140.14,112.17,111
Nano Talonario,Electronica,Suba Supply,566.11,393.74,251
Nano Talonario,Electronica,Palmira Traders,566.11,393.74,81
Nano Tambor,Hogar,Choco Importaciones,100.93,76.59,231
Nano Teclado,Deportes,Altiplano Supply,110.29,91.48,226
Nano Telefono,Deportes,Mosquera Logistics,113.78,74.45,232
nano telefono,Deportes,Cesar Distribuciones,113.78,74.45,220
Nano Tenedor,Alimentos,Pereira Proveedores,18.43,15.03,435
Nano Termo,Alimentos,Sincelejo Market,30.22,23.42,412
Nano Tijera,Deportes,Monteria Retail,33.73,26.75,421
Nano Toalla,Deportes,Santander Mayorista,98.88,75.76,41
Nano Tripode,Hogar,Popayan Logistics,44.52,34.07,20
Nano Webcam,Alimentos,Palmira Traders,11.98,8.92,41
Nano Webcam,Alimentos,Meta Comerciales,11.98,8.92,396
Nano Zapatilla,Belleza,Madrid Supply,111.32,58.1,112
Neo Afeitadora,Juguetes,Logistica Pacifico,36.37,29.07,104
Neo Afeitadora,Juguetes,Insumos Cafeteros,36.37,29.07,191
Neo Agenda,Deportes,Tolima Proveedores,305.87,247.36,16
Neo Agenda,Deportes,La Estrella Supply,305.87,247.36,119
Neo Archivador,Ropa,Choco Importaciones,24.97,15.75,392
Neo Archivador,Ropa,Fusagasuga Supply,24.97,15.75,424
Neo Auriculares,Electronica,Mosquera Logistics,355.06,227.84,128
Neo Balanza,Electronica,Pereira Proveedores,190.88,125.34,129
Neo Balanza,Electronica,Amazonas Traders,190.88,125.34,59
Neo Balon,Alimentos,Soledad Retail,20.89,16.96,47
Neo Biberon,Oficina,Candelaria Market,89.29,68.88,28
Neo Biberon,Oficina,Duitama Market,89.29,68.88,96
Neo Bicicleta,Alimentos,Quibdo Market,12.54,10.06,9
Neo Bicicleta,Alimentos,Usaquen Market,12.54,10.06,241
Neo Boligrafo,Juguetes,Palmira Traders,74.57,45.82,313
Neo Botella,Jardin,Casanare Retail,128.02,82.42,443
Neo Cable,Deportes,Oriente Mercantil,377.5,239.2,231
Neo Cable,Deportes,Villavicencio Hub,377.5,239.2,276
Neo Cafetera,Belleza,Madrid Supply,86.57,43.55,283
Neo Camisa,Oficina,Meta Comerciales,60.39,40.86,202
Neo Cargador,Belleza,Dosquebradas Traders,75.33,42.07,246
neo cargador,Belleza,Rionegro Supply,75.33,42.07,289
neo carpa,Alimentos,Sucre Supply,19.89,16.65,263
Neo Carpa,Alimentos,Palmira Traders,19.89,16.65,442
Neo Carpeta,Jardin,Ipiales Trade,194.83,129.17,213
